model,doc,psr,iteration,CosSim_Thresh,TopKSelection,f1_micro,f1_macro,exact_match_ratio,precision@8,precision@15,precision@recall,map,precision_micro,recall_micro,fpr_micro,auc_micro,auc_macro
PLMICD,15,1_0.1_0.0,0,0,15,59.3,23.5,0.5,70.7,55.8,58.8,63.1,63,56.1,0.1,99.3,97
PLMICD,15,1_0.1_0.0,1,0,15,59.4,23.7,0.5,70.9,55.9,58.9,63.2,62.2,56.9,0.1,99.3,96.9
PLMICD,15,1_0.1_0.0,2,0,15,59.5,23.8,0.5,70.8,55.9,58.9,63,61.4,57.7,0.1,99.3,96.9
PLMICD,15,1_0.1_0.0,3,0,15,59.5,23.9,0.4,70.6,55.8,58.9,62.7,60.6,58.3,0.1,99.3,96.9
PLMICD,15,1_0.1_0.0,4,0,15,59.4,24,0.4,70.3,55.8,58.8,62.4,59.9,58.9,0.1,99.2,96.9
PLMICD,15,1_0.1_0.0,5,0,15,59.3,24.1,0.4,70.1,55.7,58.7,62.1,59.1,59.4,0.1,99.2,96.9
PLMICD,15,1_0.1_0.0,6,0,15,59.1,24.1,0.4,69.7,55.5,58.6,61.8,58.3,59.9,0.1,99.2,96.9
PLMICD,15,1_0.1_0.0,7,0,15,58.8,24.2,0.4,69.4,55.4,58.5,61.4,57.4,60.3,0.1,99.2,96.9
PLMICD,15,1_0.1_0.0,8,0,15,58.5,24.2,0.4,69.1,55.2,58.3,61.1,56.5,60.7,0.1,99.2,96.9
PLMICD,15,1_0.1_0.0,9,0,15,58.2,24.3,0.3,68.7,55,58.1,60.7,55.6,61.1,0.1,99.2,96.9
PLMICD,15,1_0.1_0.0,10,0,15,57.9,24.3,0.3,68.4,54.8,57.9,60.4,54.7,61.4,0.1,99.2,96.9
MultiResCNN,10,1_0.1_0.0,0,0,10,56.7,20.4,0.4,67.6,53.3,55.8,58.9,59.4,54.2,0.1,98.9,94.2
MultiResCNN,10,1_0.1_0.0,1,0,10,56.8,20.5,0.4,67.8,53.4,55.9,59,58.8,54.8,0.1,98.9,94.2
MultiResCNN,10,1_0.1_0.0,2,0,10,56.8,20.5,0.3,67.7,53.4,55.9,58.8,58.2,55.4,0.1,98.9,94.2
MultiResCNN,10,1_0.1_0.0,3,0,10,56.8,20.6,0.3,67.5,53.4,56,58.6,57.6,56,0.1,98.8,94.2
MultiResCNN,10,1_0.1_0.0,4,0,10,56.7,20.7,0.3,67.3,53.3,55.9,58.3,57,56.4,0.1,98.8,94.2
MultiResCNN,10,1_0.1_0.0,5,0,10,56.7,20.8,0.3,67,53.3,55.9,58,56.4,56.9,0.1,98.8,94.2
MultiResCNN,10,1_0.1_0.0,6,0,10,56.5,20.8,0.3,66.8,53.2,55.8,57.7,55.8,57.3,0.1,98.7,94.2
MultiResCNN,10,1_0.1_0.0,7,0,10,56.3,20.8,0.3,66.5,53,55.7,57.4,55,57.7,0.1,98.7,94.2
MultiResCNN,10,1_0.1_0.0,8,0,10,56.1,20.8,0.3,66.2,52.8,55.6,57.1,54.3,58,0.1,98.7,94.2
MultiResCNN,10,1_0.1_0.0,9,0,10,55.8,20.9,0.3,65.9,52.7,55.4,56.8,53.5,58.4,0.1,98.7,94.1
MultiResCNN,10,1_0.1_0.0,10,0,10,55.6,20.9,0.3,65.7,52.5,55.2,56.5,52.7,58.7,0.1,98.7,94.1
MultiResCNN,15,1_0.1_0.0,0,0,15,56.7,20.4,0.4,67.6,53.3,55.8,58.9,59.4,54.2,0.1,98.9,94.2
MultiResCNN,15,1_0.1_0.0,1,0,15,56.7,20.5,0.4,67.8,53.4,55.9,59,58.8,54.8,0.1,98.9,94.2
MultiResCNN,15,1_0.1_0.0,2,0,15,56.8,20.5,0.3,67.7,53.4,55.9,58.9,58.2,55.4,0.1,98.9,94.2
MultiResCNN,15,1_0.1_0.0,3,0,15,56.8,20.6,0.3,67.6,53.4,55.9,58.6,57.6,56,0.1,98.8,94.2
MultiResCNN,15,1_0.1_0.0,4,0,15,56.7,20.7,0.3,67.3,53.4,56,58.4,57,56.4,0.1,98.8,94.2
MultiResCNN,15,1_0.1_0.0,5,0,15,56.7,20.7,0.3,67.1,53.3,55.9,58.1,56.4,56.9,0.1,98.8,94.2
MultiResCNN,15,1_0.1_0.0,6,0,15,56.6,20.8,0.3,66.8,53.2,55.9,57.8,55.8,57.3,0.1,98.7,94.2
MultiResCNN,15,1_0.1_0.0,7,0,15,56.4,20.8,0.3,66.6,53.1,55.8,57.5,55.2,57.7,0.1,98.7,94.1
MultiResCNN,15,1_0.1_0.0,8,0,15,56.2,20.8,0.3,66.3,53,55.6,57.3,54.5,58.1,0.1,98.7,94.1
MultiResCNN,15,1_0.1_0.0,9,0,15,56,20.9,0.2,66,52.8,55.5,57,53.7,58.4,0.1,98.7,94.1
MultiResCNN,15,1_0.1_0.0,10,0,15,55.7,20.9,0.2,65.8,52.6,55.3,56.7,53,58.7,0.1,98.7,94.1
VanillaRNN,10,1_0.1_0.0,0,0,10,49.3,9.4,0.4,62,47,49,50.3,57,43.5,0.1,98.2,92
VanillaRNN,10,1_0.1_0.0,1,0,10,49.5,9.5,0.4,62.1,47.1,49.1,50.3,55.8,44.4,0.1,98.2,92
VanillaRNN,10,1_0.1_0.0,2,0,10,49.5,9.7,0.3,61.9,47,49,50.1,54.7,45.2,0.1,98.2,92
VanillaRNN,10,1_0.1_0.0,3,0,10,49.4,9.9,0.3,61.8,46.9,48.9,49.8,53.5,45.9,0.1,98.1,92
VanillaRNN,10,1_0.1_0.0,4,0,10,49.3,10,0.3,61.6,46.8,48.7,49.5,52.3,46.5,0.1,98.1,92
VanillaRNN,10,1_0.1_0.0,5,0,10,49,10.1,0.3,61.4,46.6,48.5,49.1,51,47.1,0.1,98.1,92
VanillaRNN,10,1_0.1_0.0,6,0,10,48.6,10.1,0.2,61.1,46.4,48.3,48.8,49.7,47.6,0.1,98.1,91.9
VanillaRNN,10,1_0.1_0.0,7,0,10,48.2,10.2,0.2,60.8,46.2,48.1,48.4,48.3,48.1,0.1,98,91.9
VanillaRNN,10,1_0.1_0.0,8,0,10,47.8,10.3,0.2,60.5,45.9,47.8,48.1,47,48.5,0.1,98,91.9
VanillaRNN,10,1_0.1_0.0,9,0,10,47.1,10.4,0.2,60.2,45.7,47.6,47.8,45.4,48.9,0.1,98,91.9
VanillaRNN,10,1_0.1_0.0,10,0,10,46.7,10.4,0.2,59.9,45.4,47.3,47.5,44.3,49.3,0.1,98,91.9
VanillaRNN,15,1_0.1_0.0,0,0,15,49.3,9.4,0.4,62,47,49,50.3,57,43.5,0.1,98.2,92
VanillaRNN,15,1_0.1_0.0,1,0,15,49.5,9.5,0.3,62,47.1,49,50.3,55.8,44.4,0.1,98.2,92
VanillaRNN,15,1_0.1_0.0,2,0,15,49.5,9.7,0.3,62,47.1,49,50.2,54.7,45.2,0.1,98.2,92
VanillaRNN,15,1_0.1_0.0,3,0,15,49.4,9.8,0.3,61.8,47,48.9,49.9,53.6,45.9,0.1,98.1,92
VanillaRNN,15,1_0.1_0.0,4,0,15,49.3,9.9,0.3,61.6,46.8,48.8,49.6,52.4,46.5,0.1,98.1,91.9
VanillaRNN,15,1_0.1_0.0,5,0,15,49,10,0.3,61.4,46.7,48.6,49.3,51.2,47.1,0.1,98.1,91.9
VanillaRNN,15,1_0.1_0.0,6,0,15,48.7,10.1,0.2,61.1,46.5,48.4,48.9,49.9,47.6,0.1,98.1,91.9
VanillaRNN,15,1_0.1_0.0,7,0,15,48.4,10.2,0.2,60.9,46.3,48.2,48.6,48.7,48.1,0.1,98,91.9
VanillaRNN,15,1_0.1_0.0,8,0,15,48,10.2,0.2,60.6,46.1,47.9,48.3,47.4,48.5,0.1,98,91.9
VanillaRNN,15,1_0.1_0.0,9,0,15,47.5,10.3,0.2,60.2,45.9,47.7,48,46.2,48.9,0.1,98,91.9
VanillaRNN,15,1_0.1_0.0,10,0,15,47,10.3,0.2,59.9,45.7,47.5,47.7,44.9,49.3,0.1,98,91.9
VanillaConv,10,1_0.1_0.0,0,0,10,47.5,6.5,0.2,59.8,45.2,46.5,47.2,53.9,42.5,0.1,97.4,87.5
VanillaConv,10,1_0.1_0.0,1,0,10,47.6,6.6,0.2,59.8,45.2,46.6,47.2,52.7,43.3,0.1,97.4,87.4
VanillaConv,10,1_0.1_0.0,2,0,10,47.5,6.7,0.2,59.6,45.1,46.5,46.9,51.5,44,0.1,97.3,87.4
VanillaConv,10,1_0.1_0.0,3,0,10,47.3,6.8,0.2,59.4,45,46.3,46.6,50.3,44.6,0.1,97.3,87.4
VanillaConv,10,1_0.1_0.0,4,0,10,47,6.9,0.2,59.2,44.8,46.1,46.3,49,45.2,0.1,97.3,87.4
VanillaConv,10,1_0.1_0.0,5,0,10,46.6,7,0.2,58.9,44.6,45.8,45.9,47.6,45.7,0.1,97.3,87.4
VanillaConv,10,1_0.1_0.0,6,0,10,46.1,7.1,0.1,58.7,44.3,45.5,45.5,46.1,46.2,0.1,97.2,87.4
VanillaConv,10,1_0.1_0.0,7,0,10,45.5,7.1,0.1,58.4,44,45.2,45.2,44.5,46.6,0.1,97.2,87.4
VanillaConv,10,1_0.1_0.0,8,0,10,44.9,7.1,0.1,58,43.8,45,44.9,43,47,0.1,97.2,87.4
VanillaConv,10,1_0.1_0.0,9,0,10,44.4,7.2,0.1,57.8,43.5,44.7,44.6,41.9,47.3,0.1,97.2,87.4
VanillaConv,10,1_0.1_0.0,10,0,10,43.8,7.2,0.1,57.5,43.2,44.4,44.3,40.5,47.7,0.1,97.1,87.4
VanillaConv,15,1_0.1_0.0,0,0,15,47.5,6.5,0.2,59.8,45.2,46.5,47.2,53.9,42.5,0.1,97.4,87.5
VanillaConv,15,1_0.1_0.0,1,0,15,47.6,6.6,0.2,59.7,45.2,46.5,47.2,52.7,43.3,0.1,97.4,87.4
VanillaConv,15,1_0.1_0.0,2,0,15,47.5,6.7,0.2,59.6,45.1,46.5,47,51.5,44,0.1,97.3,87.4
VanillaConv,15,1_0.1_0.0,3,0,15,47.3,6.8,0.2,59.5,45,46.3,46.7,50.4,44.7,0.1,97.3,87.4
VanillaConv,15,1_0.1_0.0,4,0,15,47.1,6.9,0.2,59.2,44.8,46.1,46.4,49.1,45.2,0.1,97.3,87.4
VanillaConv,15,1_0.1_0.0,5,0,15,46.7,6.9,0.2,59,44.7,45.9,46.1,47.7,45.8,0.1,97.3,87.4
VanillaConv,15,1_0.1_0.0,6,0,15,46.3,7,0.2,58.7,44.5,45.6,45.7,46.4,46.2,0.1,97.2,87.4
VanillaConv,15,1_0.1_0.0,7,0,15,45.8,7,0.2,58.4,44.2,45.4,45.4,45,46.6,0.1,97.2,87.4
VanillaConv,15,1_0.1_0.0,8,0,15,45.3,7.1,0.2,58.1,44,45.2,45.1,43.6,47,0.1,97.2,87.4
VanillaConv,15,1_0.1_0.0,9,0,15,44.7,7.1,0.1,57.8,43.8,44.9,44.7,42.3,47.4,0.1,97.2,87.4
VanillaConv,15,1_0.1_0.0,10,0,15,44.2,7.1,0.1,57.6,43.5,44.7,44.4,41.1,47.7,0.1,97.1,87.3
